"Enabled","Włączone"
"Plugin dev-debug mode","Tryb dev-debug wtyczki"
"active","aktywny"
"inactive","nieaktywny"
"Environment variables","Zmienne środowiskowe"
"Internal configuration","Konfiguracja wewnętrzna"
"Developer mode is active. You are using test environment.","Tryb deweloperski jest aktywny. Używasz środowiska testowego."
"Production mode is active.","Tryb produkcyjny jest aktywny."
"Production API key not present.","Brak produkcyjnego klucza API."
"Test API key not present.","Brak testowego klucza API."
"Invalid production API key.","Produkcyjny klucz API jest nieprawidłowy."
"Invalid test API key.","Testowy klucz API jest nieprawidłowy."
"Production account is active.","Konto produkcyjne jest aktywne."
"Production account is not active.","Konto produkcyjne jest nieaktywne."
"Test account is active.","Konto testowe jest aktywne."
"Test account is not active.","Konto testowe jest nieaktywne."
"Errors log","Log błędów"
"Clear errors log","Wyczyść log błędów"
"Debug log","Log trybu debugowania"
"Clear debug log","Wyczyść log debugowania"
"Are you sure you want to clear the log?","Czy na pewno chcesz wyczyścić log?"
"No financial product types available. Please check your API key configuration.","Brak dostępnych typów produktów finansowych. Sprawdź konfigurację klucza API."
"Unsuccessful attempt to open the application. Please try again later.","Nieudana próba otwarcia wniosku. Spróbuj ponownie za chwilę i powinno się udać!"
"Unsuccessful attempt to open the application. Communication error with Comfino API.","Nieudana próba otwarcia wniosku. Błąd komunikacji z API Comfino."
"Invalid customer e-mail address. Please check your account contact data.","Nieprawidłowy adres e-mail klienta. Sprawdź dane kontaktowe konta."
"Phone number is required. Please add a phone number to your billing or delivery address.","Numer telefonu jest wymagany. Dodaj numer telefonu do adresu rozliczeniowego lub dostawy."
"First name is required.","Imię jest wymagane."
"Last name is required.","Nazwisko jest wymagane."
"Delivery address is required.","Adres dostawy jest wymagany."
"City is required.","Miejscowość jest wymagana."
"Postal code is required.","Kod pocztowy jest wymagany."
"Cart is empty. Please add products to your cart.","Koszyk jest pusty. Dodaj produkty do koszyka."
"Cart total amount must be greater than zero.","Łączna kwota koszyka musi być większa niż zero."
"Order submitted to Comfino - waiting for payment.","Zamówienie przekazane do Comfino — oczekiwanie na płatność."
"Order created — waiting for payment (Comfino)","Zamówienie utworzone — oczekiwanie na płatność (Comfino)"
"Credit granted (Comfino)","Kredyt udzielony (Comfino)"
"Credit rejected (Comfino)","Wniosek kredytowy odrzucony (Comfino)"
"Resigned (Comfino)","Odstąpiono (Comfino)"
"Cancelled by shop (Comfino)","Anulowano przez sklep (Comfino)"
"Cancelled (Comfino)","Anulowano (Comfino)"
"Go to payment","Przejdź do płatności"
"Please select a financial product type in the payment form before placing the order.","Wybierz typ produktu finansowego w formularzu płatności przed złożeniem zamówienia."
"Communication error with Comfino API.","Błąd komunikacji z API Comfino."
"Order automatically canceled — Comfino application could not be created. Reason: %1","Zamówienie zostało automatycznie anulowane — nie udało się utworzyć wniosku Comfino. Powód: %1"
"New Comfino %1 module version is available. You are using %2 version. Please update your Comfino module.","Nowa wersja modułu Comfino %1 jest dostępna. Używasz wersji %2. Zaktualizuj moduł Comfino."
"Comfino Hyvä Checkout compatibility extension: %1","Rozszerzenie kompatybilności Comfino z Hyvä Checkout: %1"
"Comfino Hyvä Checkout compatibility extension","Rozszerzenie kompatybilności Comfino z Hyvä Checkout"
"installed","zainstalowana"
"version","wersja"
"not installed","niezainstalowana"
